Rank,Name,Nat.,20/09 Belgrade (SA),27/09 Gand (SA),04/10 Genève (SA),11/10 Split (SA),18/10 Dublin (SA),25/10 Barcelone (SA),05/12 Vancouver (A),09/01 Fujairah (A),24/01 Doha (GP),05/02 Heidenheim (A),26/03 Astana (A),17/04 Budapest (GP),08/05 Medellín (GP),22/05 Berne (A),01/06 Abidjan (CHZ),16/06 Lima (CHZ),16/06 Antony (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
773,QUELIN-GUERLAIS Gaspard,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
773,POKKER David,ROU,,,,,0.0,,,,,,,,,,,,,,,0.0
773,RUSEV Martin,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
773,DELMORAL COMUNIAN Diego,VEN,,,,,,0.0,,,,,,,,,,,,,,0.0
778,ENESCU Ovidiu,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
778,O HANLUAIN FAY Eoghan,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
780,SKOK Andrii,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
781,MATEOS GARCIA Guillermo,ESP,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
782,OZSVART Barnabas,BEL,,0.0,,,,,,,,0.0,,,,,,,,,,0.0
783,BOCCA Dario,ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
783,MOUGEL Kylan,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
783,TAKUIRA-MITA Jacob,NZL,,,,,,,,,,,,,,,,,,0.0,,0.0
786,VIDALI Aurel,LUX,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,0.0
787,MICHALSKI Christoph Magnus,GER,,0.0,0.0,,,,,,,,,,,,,,,,,0.0
788,ALKHLIF Ali,QAT,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0
789,CAPON RODRIGUEZ Biel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
790,GAZAKBAYEV Omar,TKM,,,,,,,,,,,,,,,,,,0.0,,0.0
790,YORDANOV Kaloyan,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
790,SAVARIN Yoann,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
793,EL CHEMALI Ghadi,LBN,,,,,,,,0.0,,,,,,,,,,0.0,,0.0
794,STYN Robert,GER,,0.0,,,,,,,,,,0.0,,,,,,,,0.0
795,ZIVANOVIC Konstantin,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
795,TOMASIN Riccardo,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
795,ADAIR Scott,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
798,AGAYEV Arslan,TKM,,,,,,,,,,,,,,,,,,0.0,,0.0
798,MUSAMBI Gabriel Angel,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
798,ZULIANI Claudio,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
801,CUMMINGS Kai,USA,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
802,NIKOLIC Danilo,SRB,0.0,,,,,,,,,,,,,,,,0.0,,,0.0
803,VARONE Francesco,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
803,SCHANZLEH Thom,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
803,REYNOSO Roman,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
803,GURUNG PRASHANT,NEP,,,,,,,,,,,,,,,,,,0.0,,0.0
807,ROSCA David,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
807,DEL PRETE Davide,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
807,GOEDEJOHANN Anselm,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
807,YOUSSEF Ezmashli,SYR,,,,,,,,,,,,,,,,,,0.0,,0.0
807,SZURLEJ Maciej,POL,,,,0.0,,,,,,,,,,,,,,,,0.0
807,CHARBONNET Samuel,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
813,SOBOCAN Rok,SLO,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
814,DENCHEV Yavor,BUL,0.0,,,,,,,,,,,0.0,,,,,,,,0.0
815,PETRACHE George,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
815,ENRIQUEZ Lucas,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
815,RIYSMAN Maximilian,EST,,0.0,,,,,,,,,,,,,,,,,,0.0
815,WEERASINGHE Pasan,SRI,,,,,,,,,,,,,,,,,,0.0,,0.0
819,NIELSEN Frederik Holger Boejer,DEN,,,,,0.0,,,,,,,,,,,,,,,0.0
819,GIRI Janga,NEP,,,,,,,,,,,,,,,,,,0.0,,0.0
821,HVALA Vito,SLO,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
822,KRYVONOS Maksym,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
823,CORBU Cristian,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
823,STROBBIA Edoardo,ITA,,,0.0,,,,,,,,,,,,,,,,,0.0
823,SHRESTHA SOYAB MAN,NEP,,,,,,,,,,,,,,,,,,0.0,,0.0
826,RUBANKO Arlan,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
827,LAKSIRI Suren,SRI,,,,,,,,,,,,,,,,,,0.0,,0.0
827,HERTEL David,AUT,,,,,0.0,,,,,,,,,,,,,,,0.0
827,STALDER Leonard,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
830,LENDERINK Raul,NED,,0.0,,0.0,,,,,,,,,,,,,,,,0.0
831,KNEPP Matej,SVK,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0
832,NIKOLIC Luka,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
832,GROGAN Stephen,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
832,FERNANDEZ Matéo,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
835,GUR Baris,TUR,,,0.0,,,,,,,,,,,0.0,,,,,,0.0
836,WAN Nicholas Wei An,MAS,,,,,0.0,,,,,,,,,0.0,,,,,,0.0
837,ELIZARI Inigo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
837,LIPTAY Adam,HUN,,,,0.0,,,,,,,,,,,,,,,,0.0
839,MADSEN Jonas Lau,DEN,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
840,HU Robert,USA,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
841,YUSMEN Filip,BUL,0.0,,,,,,,,,,,0.0,,,,,,,,0.0
842,VERDON Paul,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
842,PADUREANU David,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
844,SMOLOVIC Timotije,MNE,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
845,POHL Marc Arthur,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
845,PUERTO Andres,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
847,DOBREV Deyan,BUL,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,0.0
848,SANCHEZ RODRIGUEZ Guillermo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
848,SANCHEZ ALMOGUERA Ricardo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
848,COLMANT Cesar,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
848,GALLIGAN Peter,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
848,HARGADEN Jamie,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
848,LANGHAMMER Ralf,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
854,LULEOV Aleksandar,BUL,0.0,,,,,,,,,,,0.0,,,,,,,,0.0
855,ASTRELLA Niklas,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
855,PIRAUX Milo,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
855,SCHENKENGEL Benedict,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
858,HORDON Illia,UKR,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
859,SAMARDZIC Dragoljub,SRB,0.0,,,,,,,,,,,0.0,,,,,,,,0.0
860,GALUASHVILI Lasha,GEO,,,,,0.0,,,,,,,,,,,,,,,0.0
860,NORDTVEIT Didrik,NOR,,0.0,,,,,,,,,,,,,,,,,,0.0
862,MARTINEZ COLL Luis,ESP,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
863,DOLMETSCH NIGH Max Balam,COL,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0
864,CHARVY Thomas,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
864,CHANU Benoit,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
864,DJUROVIC Milos,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
864,OHANESSIAN Sarkis,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
868,HAYES Elliot,NZL,,,0.0,,0.0,,,,,,,,,,,,,,,0.0
869,TORRES SOLANO Inigo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
869,MOORE Toby,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
869,MIHAYLOV Maksim,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
869,BRALO Matija,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
873,BLOOMFIELD Harry,NZL,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
874,VAN RENTERGHEM Lars,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
874,BARGERO Simone,ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
874,WALMSLEY Joseph,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
877,GEITUNG Tomas,NOR,,,,,,,,,,,,,,,,,0.0,,,0.0
877,WANG Meng,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
877,JUMET Alexandre,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
877,BALABANOV Borimir,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
877,THAYER Jake,USA,,,,,,0.0,,,,,,,,,,,,,,0.0
877,MAZIN IVAN,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
883,BEGLEY Paul-Ryan,IRL,,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0
884,YORDANOV Matey,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
884,DILIBERTO Luca,ITA,,,0.0,,,,,,,,,,,,,,,,,0.0
884,MARTIN GASCON Anibal,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
887,HUCHLER Jakob,AUT,,0.0,,,,,,,,0.0,,,,,,,,,,0.0
888,SVICHKAR Bohdan,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
888,SOMODY Bonca,HUN,0.0,,,,,,,,,,,,,,,,,,,0.0
890,BACIU Stefan Catalin,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
890,LIONELLO Arturo,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
890,BAKKE Alexander,NOR,,,,,0.0,,,,,,,,,,,,,,,0.0
890,PONNET Robin,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
890,GORMAZ Javier Ivan,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
895,MYKYTENKO Oleh,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
896,KULKA Dawid,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
896,UGAZ VIDAL Mateo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
896,MILOSEVIC Marko,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
896,CAVLI Ali Arda,TUR,0.0,,,,,,,,,,,,,,,,,,,0.0
900,DURASKOVIC Filip,MNE,0.0,,,0.0,,,,,,,,,,,,,,,0.0,0.0
901,ADAMS Richard,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
902,DUNCHEV Blagoy,BUL,0.0,,,,0.0,,,,,,,0.0,,,,,,,,0.0
903,ISIKLAR baran,TUR,,,,0.0,,,,,,,,,,,,,,,,0.0
903,VAN EDEREN Adam,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
903,DAKOV Yasen,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
906,BROULIS Alexandre,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
906,FEY Bertram,GER,0.0,,,,,,,,,,,,,,,,,,,0.0
906,VOLKOV Daniel,LTU,,0.0,,,,,,,,,,,,,,,,,,0.0
906,ABELLAN POZA Pablo,ESP,,,,,0.0,,,,,,,,,,,,,,,0.0
910,GARCIA LA PARRA Gonzalo,ESP,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
911,DEGORCE Raphael,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
911,TEMO PLANES Angel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
913,VELAZQUEZ DE ABA Ramon Antonio,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
913,CHERRY Robert,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
913,ESPI FONTELLES Oriol,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
913,VRBAJAC Kosta,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
917,RUSYN Maksym,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
917,KAVANAGH Padraig,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
917,SUNDER-RAJAN Sameer,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
917,STANOJEVIC Sterija,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
921,VARGAS INCIARTE Salvador Gabriel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
921,ISCHI Eric,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
921,URBAN Pawel,POL,0.0,,,,,,,,,,,,,,,,,,,0.0
924,ASHRAFI Ehsan,SWE,,,,0.0,,,,,,,,,,,,,,,,0.0
924,NEERMAN Leon,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
926,MILINKOVIC Djordje,SRB,0.0,,,0.0,,,,,,,,,,,,,,,,0.0
927,LAKOVIC Strahinja,MNE,,,,,,,,,,,,,,,,,0.0,,,0.0
927,FEY Tom,GER,0.0,,,,,,,,,,,,,,,,,,,0.0
929,VAN COPPENOLLE Nicolas,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
929,STRELARAC Justin,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
931,PASSIAS Nikolaos,GRE,,,,,,,,,,,,,,,,,0.0,,,0.0
931,DEBAK Marko,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
931,NECKOVIC Vladan,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
931,WHITLEY Jay,USA,0.0,,,,,,,,,,,,,,,,,,,0.0
935,DEL TORNO IGLESIAS Gabriel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
935,TRPKOVSKI Pavel,MKD,,,,,,,,,,,,,,,,,0.0,,,0.0
935,VAN LAECKE Gregory,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
935,MANIERO Roko,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
939,RUSSELL Finn,GBR,,,0.0,,,0.0,,,,,,,,,,,,,,0.0
940,HLUCHY Lukas,SVK,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
941,HARTMANN Martin,CZE,,,,,,0.0,,,,,,,,,,,,,,0.0
942,TETTENBORN Alexander,GER,,0.0,0.0,,,,,,,,,,,,,,,,,0.0
943,PETROVIC Bartul,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
944,TODOROVIC Erik,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
944,WAFFELAERT Thibault,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
944,ANKER Mees,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
947,BORER Pavlo,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
947,SANCHEZ BURGUI Yeray,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
949,BERTUCCELLI Costantino,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
949,VOERSAA Christian,DEN,,0.0,,,,,,,,,,,,,,,,,,0.0
949,ULRICH Julien,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
952,FREY Jeremia,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
952,BECKLEY Jack,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
952,SCHOUT Jasper,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
955,DI LILLO Danilo,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
955,HERDEGEN Matthias,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
957,JORDAN Rene,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
957,JIMENEZ GISBERT Aleix,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
957,AMSTUTZ Sebastien,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
960,CASADO Elias,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
960,LONGO Marco,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
960,PIETERS Kyano,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
960,CAGNET Robin,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
964,SANCHEZ ORTIZ Jorge,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
965,BAUWELINCK Briecq,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
965,PEREIRA EIRIZ Jorge,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
967,LENNARTZ Daan,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
967,DEMIERRE Nicolas,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
969,WETZEL Oliver,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
969,CORDOBA ALVAREZ Jorge,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
971,ABBASZADEH Nima,CAN,,0.0,,,,,,,,,,,,,,,,,,0.0
971,MONACO Valentino,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
973,GSCHWEND Marino Roberto,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
973,ALVAREZ APARICIO Marcos,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
975,LONTANI Matteo,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
975,KEUSCH Guillaume,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
975,SANTARELLI Sebastien,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
978,ALI Adam,USA,,0.0,,,,,,,,,,,,,,,,,,0.0
979,WANG Liangdi,HKG,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,0.0
980,THIELEMANS Alain,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
980,BREKER Henri,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
982,LEMAITRE Nicolas,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
982,FERRUS GARCIA Joan,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
984,MARINETTI Michele Pietro,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
984,LAURENT Maxime,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
986,VALCARCEL Victor,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
986,ZIMMERMANN Henri,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
988,STRUBIN Arnaud,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
989,BONNOT Antonin,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
989,VAZQUEZ CARRIO Luis,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
991,VIOLA CILLEROS Bruno,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
992,BULLIARD Valentin,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
992,SOLA Rafael,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
994,ALVITO Luis,POR,,,,,,0.0,,,,,,,,,,,,,,0.0
995,PETRINI Noah,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
995,PEREZ GARCIA Carlos,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
997,PENIZA MEJIAS Fco. Gabriel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
997,BERGER Guillaume,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
999,KOMLEV Maxim,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,0.0
1000,RUSSELL James,GBR,,,0.0,,,,,,,,,,,0.0,,,,,,0.0
1001,PEREZ WEBER Juan,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1002,CUESTA ONATE Carlos,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1003,ODGAARD-JENSEN Johan,DEN,,,,,,0.0,,,,0.0,,,,,,,,,,0.0
1004,SEILLON Alix,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
1005,MIGUEZ BENITO Guillermo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1006,TORNER SANCHEZ Obac,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1007,TORRENS URRUTIA Adria,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1007,RIVA Dino,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
1009,VENDRELL FORTEZA-REY Guillem,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1010,MAITA VILLARROEL Manuel,VEN,,,,,,,,,,,,,0.0,0.0,,,,,,0.0
1011,CAP Hector,GUA,,,,,,,,,,,,,0.0,,,,,,,0.0
1011,PEREZ MARTINEZ David,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1013,GASPAR Laszlo Gedeon,ARG,,,,,,0.0,,,,,,,,,,,,,,0.0
1014,VIDAL CARUNCHO Adrian,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1014,DOMINGUEZ ORONEZ German Haroldo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1016,VINTIMILLA BORJA Carlos Javier,ECU,,,,,,,,,,,,,0.0,,,,,,,0.0
1017,GARCIA CAMACHO Ariel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1018,MORA MORENO Alonso,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1018,CAMILO GUEVARA NICOLAS,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1020,ERRICHIELLO Angelo,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
1020,VARGAS BENITEZ Juan Jose,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1022,SENIS LOPEZ Roger,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1023,ACHURRA Johan,PAN,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0
1024,ORRO TABOADA Gabriel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1025,ALNASER Abdallah,JOR,,,,,,0.0,,,,,,,,,,,,,,0.0
1025,TANG Mingyuan,CHN,,,,,,,,,,,,,0.0,,,,,,,0.0
1027,SANZ DEL PUERTO Andy,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1027,ROCA VILARDEBO Alex,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1029,GODOY Julian,CRC,,,,,,,,,,,,,0.0,,,,,,,0.0
1030,RODRIGUEZ Jaime,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1031,GAROLERA COMPTE Didac,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1032,MORALES CASTRO Gabriel,CRC,,,,,,,,,,,,,0.0,,,,,,,0.0
1033,ABAD PINAZO Javier,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1034,MOSKALCHUK Vitalii,UKR,,,,,,0.0,,,,,,,,,,,,,,0.0
1034,BUSTOS INSUASTI OMAR ADOLFO,ECU,,,,,,,,,,,,,0.0,,,,,,,0.0
1036,LATORRE FERNANDEZ Fernando,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1036,HERNANDEZ JARAMILLO Juan Manuel,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1038,PRIM SERRADILLA Jaime,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1039,BRILLA ARAYA Luis Steffano,CRC,,,,,,,,,,,,,0.0,,,,,,,0.0
1039,DE LA CRUZ Justin J.,PUR,,,,,,,,,,,,,0.0,,,,,,,0.0
1041,AYALA Jaime,MEX,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
1042,ROMERO VICTORES Desley,CUB,,,,,,,,,,,,,0.0,,,,,,,0.0
1043,CHAVEZ Ismael,MEX,,,,,,,,,,,,0.0,0.0,,,,,,,0.0
1044,BUSTILLO NAVARRO Gonzalo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1044,CURTO QUINTANA Arnau,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1044,CALDERON MARIN Alejandro,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1047,AL ZAROONI Khalifa,UAE,,,,,,,,0.0,0.0,,,,,,,,,,,0.0
1048,ASTORINO FIGUEROA Giuseppe,VEN,,,,,,,,,,,,0.0,0.0,,,,,,,0.0
1049,KIRSCHEN Uwe,GER,,,,,,0.0,,,,,,,,,,,,,,0.0
1050,LEE Benjamin Shijie,SGP,,,,,,,,,0.0,,,,,,,,,,,0.0
1050,FRANCO ROBLES Xian,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1050,MURILLO GARCIA JUAN PABLO,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1053,LOCKHUART GUERRERO Jose Rafael,DOM,,,,,,,0.0,,,,,,0.0,,,,,,,0.0
1054,BENITEZ MORALES Javier,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1054,RAMÍREZ CARDONA SEBASTIÁN,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1054,LUMIJARVI Juha,FIN,,,,,,0.0,,,,,,,,,,,,,,0.0
1054,MONROY HERRERA Juan Sebastian,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1058,DUANMU Youran,CHN,,,,,,,,,0.0,,,,,,,,,,,0.0
1059,MARIN PENAS Ricardo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1060,TOMAN Jan,CZE,,,,,,,,,0.0,,,0.0,,,,,,,,0.0
1061,MEJIA PINZON Juan Sebastian,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1061,BINDER ARROYO Gabriel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1063,SANTIBANEZ Felipe,CHI,,,,,,,,,,,,,0.0,0.0,,,,,,0.0
1064,ARRIBAS Oscar,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1065,SHEE Tim Zhe Guang,SGP,,,,,,,,0.0,,,,,,,,,,,0.0,0.0
1066,RIBEIRO Rafael,BRA,,,,,,,,,,,,,0.0,,,,,,,0.0
1066,GALBANY AGULLO Borja,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1068,RESTREPO GARCIA Kevin Andres,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1068,TANG Cheuk Yin,HKG,,,,,,,,,0.0,,,,,,,,,,,0.0
1068,AVELLA DE LA ROSA Matias,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1071,CORTES ARROYO Aaron,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1071,GARCIA TENA Daniel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1073,LEGUIZAMON ESCAURIZA Victor Nicolas,PAR,,,,,,,,,,,,,,,,,,,0.0,0.0
1073,SALAZAR MUÑETON JEANCOOL,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
