Rank,Name,Nat.,21/09 Belgrade (SA),28/09 Gand (SA),05/10 Genève (SA),12/10 Split (SA),19/10 Dublin (SA),26/10 Barcelone (SA),04/12 Vancouver (A),08/01 Fujairah (A),23/01 Doha (GP),06/02 Wuxi (A),27/03 Astana (A),17/04 Budapest (GP),09/05 Medellín (GP),22/05 St-Maur (A),02/06 Abidjan (CHZ),17/06 Lima (CHZ),18/06 Antony (CHZ),21/06 Delhi (CHZ),22/07 Hong Kong (CHM),Total points
810,SANCHEZ TATTI Rocio,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
810,BUSTOS LONDOÑO DANIELA ALEJANDRA,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
812,VARELA PELEGRI Marta,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
813,RODRIGUEZ SIERRA ISABELLA,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
814,PROKSIKOVA Patricie,CZE,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0
815,WANG XINYU,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
816,TORRES Reychell,CRC,,,,,,,,,,,,,0.0,,,,,,,0.0
817,LIM Cheryl,SGP,,,,,,,,0.0,0.0,,,,,,,,,,,0.0
818,WANG Cheelyn,AUS,,,,,,,,,,0.0,,,,,,,,,0.0,0.0
819,VILLAMARIN ZAMUDIO Manuela,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
819,WEN CHENGCHENG,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
821,RUIZ NINO Maria Alejandra,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
821,REYES Daniela,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
823,BLANCO SANCHEZ Melanny,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
824,MAHARABAM Stella Devi,IND,,,,,,,,,0.0,,0.0,,,,,,,,,0.0
825,GALPER Eva,ISR,,,,,,,0.0,,,,,,,,,,,,,0.0
825,BALAZS Luca,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
825,PAREJA GONZALEZ ALEJANDRA,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
828,BIAN JINYAN,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
829,ORTEGA Patricia,MEX,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0
830,MA Sophie,CAN,,,,,,,0.0,,,0.0,,,,,,,,,,0.0
831,CHAN Chit Ying,HKG,,,,,,,,,,0.0,,,,,,,,,,0.0
832,TANG Ying Suet,HKG,,,,,,,,,,0.0,,,,,,,,,,0.0
833,KLIMENKO Anna,EST,,,,,,,0.0,,,,,,,,,,,,,0.0
834,ZHU LIAOQI,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
835,ZABELINA Anastasiia,RUS,,,,,,,,,,0.0,,,,,,,,,,0.0
835,COOPER Claire,NZL,,,,,,,,,,,,,,,,,,,0.0,0.0
837,ALAMIRI Dhay,KSA,,,,,,,,,0.0,,,,,,,,,,,0.0
838,ZHANG Anxin,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
839,HEINZ Vanessa,GER,,,,,,,,,0.0,,,,,,,,,,,0.0
840,ALI Shaikha,QAT,,,,,,,,,0.0,,,,,,,,,,,0.0
841,GORNOVSKY Abigail,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
842,ZINYAKOVA Natalya,KAZ,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0
843,WANG Ziyu,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
843,KHORASANI Fateme,IRI,,,,,,,,0.0,,,,,,,,,,,,0.0
845,JOYAL Anne-Sophie,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
845,PERELIUBSKAIA Mariia,KGZ,,,,,,,,,,,0.0,,,,,,,,,0.0
847,CHAN Tsz Ching,HKG,,,,,,,0.0,,,,,,,,,,,,,0.0
847,SALAMEH Sasha,LBN,,,,,,,,,0.0,,,,,,,,,,,0.0
847,BUYANJARGAL Bulten,MGL,,,,,,,,,,,,,,,,,,,0.0,0.0
850,MARX Charlotte,GER,,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0
851,ZUBAYDULLOEVA Marjona,UZB,,,,,,,,0.0,,,,,,,,,,,,0.0
851,PAN Sara,AUS,,,,,,,,,,0.0,,,,,,,,,,0.0
853,UPTON Megan,GBR,,,,,,,,,0.0,,,,,,,,,,,0.0
853,DAMDINPUREV Mercy,MGL,,,,,,,,,,,,,,,,,,,0.0,0.0
855,KE ZIYUE,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
856,SEYED REZAEE Seyedeh Sara,IRI,,,,,,,,0.0,,,,,,,,,,,,0.0
857,NG Yuen Lam,HKG,,,,,,,,,,0.0,,,,,,,,,,0.0
857,LIU TIANXI,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
859,LINS Elsie,NZL,,,,,,,,,,,,,,,,,,,0.0,0.0
859,LEE En Qi,SGP,,,,,,,,,0.0,,,,,,,,,,,0.0
859,AL MAADEED Fatima,QAT,,,,,,,,,0.0,,,,,,,,,,,0.0
859,LAI Amanda,TPE,,,,,,,0.0,,,,,,,,,,,,,0.0
859,WANG Chloe,USA,,,,,,,,,,0.0,,,,,,,,,,0.0
864,SOLOMON Izabella,NZL,,,,,,,,,,,,,,,,,,,0.0,0.0
864,WEI XIAORAN,CHN,,,,,,,,,,0.0,,,,,,,,,,0.0
866,LIN Leona,TPE,,,,,,,,,,0.0,,,,,,,,,,0.0
866,MATAYEVA Aysenem,TKM,,,,,,,,,,,,,,,,,,,0.0,0.0
868,AL-ABDULLA Thkrayat,QAT,,,,,,,,0.0,0.0,,,,,,,,,,,0.0
869,TWEDDLE Sophia,NZL,,,,,,,,,,,,,,,,,,,0.0,0.0
869,ELSHEIKH Salma,EGY,,,,,,,,0.0,,,,,,,,,,,,0.0
871,AL-ABDULLA Wadha,QAT,,,,,,,,,0.0,,,,,,,,,,,0.0
871,WONG Sze Yan Nicole,HKG,,,,,,,,,,0.0,,,,,,,,,,0.0
873,GARAYEVA Diana,TKM,,,,,,,,,,,,,,,,,,,0.0,0.0
874,KARIPOVA Lyazzat,KAZ,,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0
875,MILAČIĆ FOLIĆ Snežana,MNE,,,,,,,,,,,,,,,,,,,0.0,0.0
875,NDJAVERA Varivo,NAM,,,,,,,,,,,,,,,,,,,0.0,0.0
875,LESSOVSKAYA Mariya,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
875,BALAKRISHNAN Trisha,USA,,,,,,,,,,0.0,,,,,,,,,,0.0
879,AINA Ainur,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
879,STOJAKOVIC Lola,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
881,LI Zhenni,CAN,,,,,,,0.0,0.0,,0.0,,,,,,,,,,0.0
882,BURKO Karina,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
882,LIN Evelyn,TPE,,,,,,,,,,0.0,,,,,,,,,,0.0
884,RAMIREZ Josefina,MEX,,,,,,,0.0,,,,,,,,,,,,,0.0
885,LEE Chuan Ling Michelle,SGP,,,,,,,,,,0.0,,,,,,,,,,0.0
886,KRASSIKOVA Kristina,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
886,MANSUROVA Madinabonu,UZB,,,,,,,,,,,0.0,,,,,,,,,0.0
886,DOUCI-HABANE Meriem,MAR,,,,,,,0.0,,,,,,,,,,,,,0.0
889,KONG Mila,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
890,CHEN Janet,CAN,,,,,,,0.0,0.0,,,,,,,,,,,,0.0
891,SAMRATOVA Saera,KGZ,,,,,,,,,,,0.0,,,,,,,,,0.0
892,USMONOVA NARGIZA,UZB,,,,,,,,0.0,,,,,,,,,,,,0.0
893,ALHATAMLEH Zain,JOR,,,,,,,,0.0,,,,,,,,,,,,0.0
894,ALIBEKOVA Assel,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
895,ELLIS Sarah Tahra,MAR,,,,,,,0.0,,,,,,,,,,,,,0.0
896,SVANIDZE Tatiana,GEO,,,,,,,,,,,0.0,,,,,,,,,0.0
896,ELSAYED Jana,EGY,,,,,,,,0.0,,,,,,,,,,,,0.0
898,HANY Mennalla,EGY,,,,,,,,0.0,,,,,,0.0,,,,,,0.0
899,SAMATOVA Amina,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
899,EGAN Katarina,AUS,,,,,,,,0.0,,,,,,,,,,,,0.0
901,LIU Bai Han,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
902,FROLOVA Arina,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
903,SERIKOVA Sabina,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
904,GABER Shirwit,EGY,,,,,,,,0.0,,,,,,,,,,,,0.0
905,FOMINA Kristina,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
906,SALAH NUJOOD,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
907,YERMEKKYZY Nuray,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
907,MIKLENDOVA Valerie,CZE,,,,,,,,,,,,0.0,,,,,,,,0.0
909,ELKBIR YOSSR,TUN,,,,,,,,0.0,,,,,,,,,,,,0.0
909,MISHENINA Valeriya,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
909,ALMESMARY Dana,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
912,KIZUB Alexandra,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
912,CHERNOVA Anfissa,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
914,ALALEELI Roudha,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
915,ALSUWAIDI Alyazya,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
915,UMAEVA Hava,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
917,BATYRBEK Anastassiya,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
918,ILYES Jazmin,ROU,,,,,,,,,,,,0.0,,,,,,,,0.0
919,REMBI Rubeen,FRA,,,,,,,,,,,,,,0.0,,,,,,0.0
920,LIXANDRU Nicole,ESP,,,,,,,,,,,,,,0.0,,,,,,0.0
921,VAINBERG Sophia,ISR,,,,,,,,,,,,,,0.0,,,,,,0.0
922,FABIAN Kamilla,HUN,,,,,,,,,,,,0.0,,,,,,,,0.0
923,NEBALD Franciska Zita,HUN,,,,,,,,,,,,0.0,,,,,,,,0.0
924,KURTINECZ Julia,ROU,,,,,,,,,,,,0.0,,,,,,,,0.0
925,KURTINECZ Johanna,ROU,,,,,,,,,,,,0.0,,,,,,,,0.0
926,BARTOSKOVA Adela,CZE,,,,,,,,,,,,0.0,,,,,,,,0.0
927,PIZZUTI-LAMMER Julia,AUT,,,,,,,,,,,,0.0,,0.0,,,,,,0.0
928,BLACK Abagael,GBR,,,,,,,,,,,,,,0.0,,,,,,0.0
929,HOMMA Mizuki,JPN,,,,,,,,,,,,0.0,,,,,,,,0.0
930,RENDA Eden Rose,SWE,,,,,,,,,,,,0.0,,0.0,,,,,,0.0
931,BORGARUCCI Juliana,ARG,,,,,,,,,,,,,,0.0,,,,,,0.0
932,ROH Seungkyoung,KOR,,,,,,,,,,,,,,0.0,,,,,,0.0
933,HOEFFERER Marie,AUT,,,,,,,,,,,,0.0,,0.0,,,,,,0.0
934,TICKLE Wynter,NZL,,,,,,,,,,,,,,0.0,,,,,,0.0
935,COSTE Teodora,ROU,,,,,,,,,,,,,,0.0,,,,,,0.0
936,GRANT Lucy,GBR,,,,,,,,,,,,,,0.0,,,,,,0.0
937,DABHADE Khushi,IND,,,,,,,,,,,,,,0.0,,,,,,0.0
938,BOUFARES Khadija,MAR,,,,,,,,,,,,,,0.0,,,,,,0.0
939,BALL Ella,AUS,,,,,,,,,,,,,,0.0,,,,,,0.0
