Rank,Name,Nat.,")AS(
amanaM
90/70",")AS(
araosimiT
90/02",")AS(
madretsmA
90/72",")AS(
orienaJ
ed
oiR
01/40",")AS(
eropagniS
01/11",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/70",")A(
akoukuF
21/50",")A(
siraP
10/90",")PG(
niruT
20/60",")PG(
amiL
30/02",")A(
oriaC
40/61",")A(
lubnatsI
40/03",")PG(
iahgnahS
50/51",")ZHC(
najdibA
60/30",")ZHC(
amiL
60/71",")ZHC(
ynotnA
60/81",")ZHC(
ihleD
60/12",")MHC(
gnoK
gnoH
70/22",Points
769,PETROV MIKHAIL,UKR,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0
770,TATARSKI Aleksandar,BUL,,0.0,,,,,,,,,,,,,,,,,,,0.0
770,OANCEA Stefan,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
770,DE NICOLAS RODRIGUEZ CRISTOBAL,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
773,PINTO CANO Daniel,COL,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0
774,ZOONS Axel,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
775,CHLEBOUN Matyas,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
776,SCURTU Andrei,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
776,LACROIX Hugo,FRA,,,,,,,0.0,,,,,,,,,,,,,,0.0
778,VYSKOCIL Elias,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
779,ALBERT Virgil,ALG,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0
780,GASQUEZ I FIGUERAS Arnau,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
780,PAHONE Theodor,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
780,CAILLOUX-OTT Victor,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
783,MOLLARD Christopher,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
783,SVETLANSKY Jakub,SVK,,,,,,0.0,,,,,,,,,,,,,,,0.0
785,SEGARRA ROSADO Carlos,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
786,NICOLAS Pol,BEL,,,0.0,,,,,,,,,,,,,,,,,,0.0
786,GOLLNICK Noah,GER,,,,,,,0.0,,,,,,,,,,,,,,0.0
788,ROSERO BACA David Alejandro,ECU,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
789,ROBINSON Aiden,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
789,ORTIN German,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
791,MORENO Javier,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
792,PENZES Miklos,SVK,,,,,,0.0,,,,,,,,,,,,,,,0.0
792,ALVAREZ NUNEZ Martin,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
794,MAGUIRE Cathal,IRL,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
795,BAPPERT Alexander,GER,,,0.0,,,,,,,,,,,,,,,,,,0.0
796,FELTGEN Erwan,SUI,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
797,GEORGET-ROUKLINE Sasha,GBR,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
798,STROZYNSKI Tomasz,POL,,,0.0,,,,,,,,,,,,,,,,,,0.0
798,VAN DEN BERG Cedric,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
798,ALVAREZ RUIZ Gael,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
801,PACHON Santiago,COL,,,,,,,,,,,,0.0,,,,,,,,,0.0
802,HAASBEEK Julian,NED,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0
803,ATARAMA Erick Rodrigo,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
804,LEUNG Ethan Yu Hei,HKG,,,,,,,,,,,,0.0,,,,,,,,,0.0
804,WAHTERA Tuukka,FIN,,,,,,,0.0,,,,,,,,,,,,,,0.0
806,DAKIN Ethan,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
806,LUSTED RIMMINGTON Edward David,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
808,TOKOLA Teemu,FIN,,,,,,,0.0,,,,,,,,,,,,,,0.0
808,PENA BERZINA Daniels,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
810,WU Chong Him,MAC,,,,,,,,,,,,,,,,,,,,0.0,0.0
811,ALONSO GALAR Jokin,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
812,PIOGER Thomas,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
812,RANJABARAN Daniel,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
812,RAMOS PADILLA David,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
812,VILCA Julio,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
812,BOCANEGRA Ricardo,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
817,LINDEZ MENDEZ Xavi,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
818,BALLADA PUIG Teo,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
818,ZAIDI Adil Abbas,PAK,,,,,,,,,,,,,,,,,,,,0.0,0.0
818,GASQUEZ FIGUERAS Lluc,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
818,YOPLA Josue,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
818,CRUZ RODRIGUEZ Bishma Selk,DOM,,,,,,,,,,,,0.0,,,,,,,,,0.0
818,GOMEZ NOVOA Andres Felipe,COL,,,,,,,,,,,,0.0,,,,,,,,,0.0
824,DE WAAL Dieter,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
824,MESEGUER VALENZUELA Andres,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
826,HUERGA SAN ROMAN Alberto,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
826,ENSTROM Erik,SWE,,,0.0,,,,,,,,,,,,,,,,,,0.0
828,PAJUELO Hugo,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
828,HAVARD James,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
830,PANIZO JAVORNIK Martin,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
831,RISCO Martin,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
831,GASPERINI Aymeric,BEL,,,0.0,,,,,,,,,,,,,,,,,,0.0
831,CHARDIN Alexis,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
834,ARMAS RATTO JOSE IGNACIO,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
834,PAIVA Salvador,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
836,DA SILVA Antoine,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
837,POST Patrick,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
838,GONZALEZ Matthew Aidan,PHI,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0
839,CACEK Matyas,CZE,,,0.0,,,,,,,,,,,,,,,,,,0.0
839,STIRLING Henry,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
841,RYKIND-BLARKE Christoffer,DEN,,,0.0,,,,,,,,,,,,,,,,,,0.0
841,MIEZAN HARVEY JEAN-MARTIAL,CIV,,,,,,,,,,,,,,,,,,,,0.0,0.0
843,RIENACKER Thomas,SWE,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,0.0
844,TOMECZEK Kamil,POL,,,,,,,,,,,,,0.0,,,,,,,,0.0
845,TOULOT VERDIER Auquelin,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
845,YANG Jintao,CHN,,,,,,,,,,,,,,,0.0,,,,,,0.0
847,ELASSAL Mohanad,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
847,WONG Adam,CAN,,,,,,,,,,,,,,,0.0,,,,,,0.0
849,SLIMANI Emrane,BEL,,,0.0,,,,,,,,,,,,,,,,,,0.0
850,HENDAWY Amro,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
851,LAU Kenji Tsun Yin,HKG,,,,,,,,,,,,,,,0.0,,,,,,0.0
851,BREMAUD Robin,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
853,FRIC Tomas,SVK,,,0.0,,,,,,,,,,,,,,,,,,0.0
853,CHUNG Kun-Wei,TPE,,,,,,,,,,,,,,,0.0,,,,,,0.0
855,CHONG Tristan,CAN,,,,,,,,,0.0,,,,,,,,,,,,0.0
856,PEARCE Martin,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
857,VAN DE SANDE Lucas,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
858,DEMIRCAN Arda Baris,TUR,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0
859,NABATIFAR Afshin Alexander,DEN,,,0.0,,,,,,,,,,,,,,,,,,0.0
860,HSIEH Cheng-Yen,TPE,,,,,,,,,,,,,,,0.0,,,,,,0.0
861,OTSUKA Kouki,JPN,,,,,,,,,0.0,,,,,,,,,,,,0.0
861,ANCIAUX Esteban,BEL,,,0.0,,,,,,,,,,,,,,,,,,0.0
863,SIAO Jhong-Jhe,TPE,,,,,,,,,0.0,,,,,,,,,,,,0.0
864,ABU HASSAN Jad,JOR,,,,,,,,,,,,,0.0,,,,,,,,0.0
864,ZHANG Isaac,CAN,,,,,,,,0.0,,,,,,,,,,,,,0.0
866,YOSHIHIRO Kohei,JPN,,,,,,,,,0.0,,,,,,,,,,,,0.0
867,PADDENBURG Joep,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
867,SALEH Omar,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
867,MEDVEDEV Martin,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
870,WAGNER Alexander,AUT,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0
871,DUIVENVOORDEN Glenn,NED,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0
872,CHIBA Atsuki,JPN,,,,,,,,,0.0,,,,,,,,,,,,0.0
872,KOK Tigo,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
872,SANDSTROM TIM Ludvig,SWE,,,0.0,,,,,,,,,,,,,,,,,,0.0
875,CHOUDHARY Gajendra,IND,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0
876,YOUSSEF Omar,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
876,HUNG Peng-Chun,TPE,,,,,,,,,,,,,,,0.0,,,,,,0.0
876,JONKER Finn,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
879,HE YIFAN,CHN,,,,,,,,,,,,,,,0.0,,,,,,0.0
879,BABAOGLU Tevfik Burak,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
881,MARTINEZ BRAVO Angel S.,VEN,,,,,,,,,,,,,,0.0,,,,,,,0.0
881,VAN HAREN Tim,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
883,YILMAN Efe Mikail,TUR,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0
884,NOOIJ Huub,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
885,GELINAS Jonathan,CAN,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0
886,YOONG Hans Wei Shen,MAS,,,,,,,,,,,,,,,0.0,,,,,,0.0
886,BAHI Mohamed,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
888,RENIERS Stijn,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
888,GOFFIN Vadim,BEL,,,0.0,,,,,,,,,,,,,,,,,,0.0
890,DELLALI Souheil,ALG,,,,,,,,,,,,,0.0,,,,,,,,0.0
890,YU Zirun (Kinton),CAN,,,,,,,,,,,,,,0.0,,,,,,,0.0
892,EVRARD Clement,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
892,LEE Hanseok,KOR,,,,,,,,,,,,,,,0.0,,,,,,0.0
892,KAMIDE Kiri,JPN,,,,,,,,,0.0,,,,,,,,,,,,0.0
895,TODOROV Vasil,BUL,,,0.0,,,,,,,,,,,,,,,,,,0.0
895,SCHREIBER Alexander,SWE,,,0.0,,,,,,,,,,,,,,,,,,0.0
897,ATTIA Aly.o,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
897,TAKAHASHI Koki,JPN,,,,,,,,,0.0,,,,,,,,,,,,0.0
897,AHMED Ziad,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
900,HSU Ya-Tang,TPE,,,,,,,,,0.0,,,,,,,,,,,,0.0
901,KHALIL Saleh,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
902,XIE Jiajin,CAN,,,,,,,,,,,,,,,0.0,,,,,,0.0
902,ABDELWAHED ASSER,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
904,AKYALCIN Gokhan,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
904,SUN Jinfeng,CHN,,,,,,,,0.0,,,,,,,,,,,,,0.0
904,LIU Yin-Yuan,TPE,,,,,,,,,0.0,,,,,,,,,,,,0.0
907,SHAMI Aziz,ISR,,,,,,,,,0.0,,,,,,,,,,,,0.0
907,TOJIMA Yuto,JPN,,,,,,,,,0.0,,,,,,,,,,,,0.0
909,JANSS Luca,BEL,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0
910,HO Shing Fung Anthony,HKG,,,,,,,,,,,,,,,0.0,,,,,,0.0
911,OYUELA Calixto,ARG,,,,,,,,,,,0.0,,,,,,,,,,0.0
912,WEI YUXUAN,CHN,,,,,,,,,,,,,,,0.0,,,,,,0.0
913,TANAKA Fuma,JPN,,,,,,,,,0.0,,,,,,,,,,,,0.0
914,EK Samuel,AUS,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0
915,LO Sze-On Jackle,TPE,,,,,,,,,,,,,,,0.0,,,,,,0.0
915,ELVAN Hakki Ruzgar,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
917,YILDIZ Bulut Ali,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
918,HENDAWY Ahmed,EGY,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0
919,TOSUN Doruk,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
920,HADNA Supanut,THA,,,,,,,,,,,,,,,0.0,,,,,,0.0
920,HO Ian Chak,MAC,,,,,,,,,,,,,,,0.0,,,,,,0.0
922,PONOMARYOV Nikita,KAZ,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0
923,HAINES Ethan,CAN,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0
924,WU Ding-Jun,CAN,,,,,,,,,0.0,,,,,,,,,,,,0.0
925,OZTURK Tuna,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
926,CHOU Shih-Chieh,TPE,,,,,,,,,,,,,,,0.0,,,,,,0.0
927,SAY Amil Efe,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
927,ARJUN Arjun,IND,,,,,,,,,0.0,,,,,,,,,,,,0.0
927,CUI Leon,NZL,,,,,,,,,0.0,,,,,,,,,,,,0.0
930,RIFKIND Mark Pasakorn,THA,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0
931,DZODZOS Michael,AUS,,,,,,,,,,,,,,,0.0,,,,,,0.0
931,TORU Emir,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
933,SUN Yi-Chuan,TPE,,,,,,,,,0.0,,,,,,,,,,,,0.0
934,ORAL CAN,TUR,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0
935,CIP Cagan,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
935,KIRAN Berk,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
937,MUSLIM Musah,GHA,,,,,,,,,0.0,,,,,,,,,,,,0.0
938,GREEN Martin,AUS,,,,,,,,,,,,,,,0.0,,,,,,0.0
939,FATOUROS Dimitrios Stylianos,GRE,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0
940,AKSAC Derin,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
941,ALKAN Ata,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
942,MACHADO Jeronimo,BRA,,,,,,,,0.0,,,,,,,,,,,,,0.0
942,GENC Halis,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
944,AN Daehyeon,KOR,,,,,,,,,,,0.0,,,,,,,,,,0.0
944,GUNES Cem,TUR,,,,,,,,0.0,,,,,,,,,,,,,0.0
946,DILBER Gunes Ali,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
947,BOZ Ata Melik,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
948,SAMPSON Caden,RSA,,,,,,,,0.0,,,,,,,,,,,,,0.0
948,OZTURK Sarp,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
948,BAYRAK Rutkay Cinar,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
951,ARIKAN Ali,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
951,HA Hyeonjun,KOR,,,,,,,,,,,,,,0.0,,,,,,,0.0
953,NEFZI Mohamed Fadi,TUN,,,,,,,,,,,,,,0.0,,,,,,,0.0
953,DOGU Turhan Bora,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
953,YILMAZKARASU Ates,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
956,KARALAR Vedat Tuna,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
957,DEV Dev,IND,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0
958,MIRZAEI Mahan,IRI,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0
959,SOLIKHOJIEV Akhmadillokhon,UZB,,,,,,,,,,0.0,,,,,,,,,,,0.0
960,TAHOUN Mostafa,EGY,,,,,,,,,,0.0,,,,,,,,,,,0.0
961,RAMISHVILI Luka,GEO,,,,,,,,,,,0.0,,,,,,,,,,0.0
962,MANUEL Marcus Antonio,PHI,,,,,,,,,,0.0,,,,,,,,,,,0.0
963,PORS Christian,DEN,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0
964,KELLEMBERGER Geronimo Leon,ARG,,,,,,,,,,,0.0,,,,,,,,,,0.0
965,VERJUS Henri,BRA,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0
966,GRAUR Iurie,MDA,,,,,,,,,,,0.0,,,,,,,,,,0.0
967,CENA SANMARTINO BEDINO Emanuel,ARG,,,,,,,,,,,0.0,,,,,,,,,,0.0
968,NKENE Cedric,CMR,,,,,,,,,,0.0,,,,,,,,,,,0.0
969,DEHOULE Antoine,FRA,,,,,,,,,,0.0,,,,,,,,,,,0.0
970,MYERS Dean Samuel,PHI,,,,,,,,,,0.0,,,,,,,,,,,0.0
971,FRASER Rhys,IRL,,,,,,,,,,0.0,,,,,,,,,,,0.0
